id,start.x,start.y,end.x,end.y
0,192,138,270,139
1,83,183,336,185
2,84,200,337,204
3,85,220,304,221
4,85,239,352,241
5,134,273,272,273
6,123,290,271,292
7,134,310,271,310
8,122,327,265,327
9,169,346,232,346
10,83,373,336,376
11,83,393,311,394
12,85,412,332,413
13,83,430,328,431
14,134,461,271,462
15,122,479,276,481
16,136,499,272,499
17,123,517,266,519
18,172,537,234,536
19,446,76,713,78
20,446,96,702,95
21,445,114,633,113
22,446,132,696,133
23,497,170,635,170
24,485,186,637,188
25,497,206,635,207
26,484,223,627,223
27,535,243,593,243
28,448,278,664,279
29,448,298,707,296
30,448,316,673,315
31,447,334,677,334
32,497,368,635,368
33,485,389,635,387
34,496,404,639,406
35,486,424,626,425
36,534,442,595,443
