id,start.x,start.y,end.x,end.y
0,193,184,211,143
1,211,143,232,179
2,288,191,319,161
3,319,161,320,200
4,173,258,205,250
5,201,250,225,259
6,280,269,315,264
7,315,264,337,268
8,319,324,392,302
9,320,340,397,374
10,225,349,233,350
11,236,383,244,382
12,243,416,256,415
13,284,386,290,384
14,293,349,304,349
15,107,286,193,326
16,125,383,203,355
17,361,430,611,432
18,507,381,694,382
19,455,339,702,341
20,498,285,682,287
21,398,247,653,245
22,707,267,726,284
23,741,283,767,309
24,773,321,804,331
25,817,329,850,318
26,863,304,893,288
27,669,576,761,575
28,668,609,756,610
29,522,494,564,496
30,577,496,615,496
31,357,479,394,479
32,303,483,342,486
33,144,576,234,570
