id,start.x,start.y,end.x,end.y
0,4,35,246,37
1,148,139,156,139
2,163,114,170,114
3,175,141,181,140
4,224,149,229,151
5,248,152,258,158
6,244,122,253,129
7,132,201,180,201
8,219,206,264,208
9,84,223,151,252
10,97,298,159,276
11,244,254,306,238
12,250,265,310,291
13,168,268,186,270
14,185,298,195,298
15,190,320,207,320
16,221,297,232,298
17,227,272,237,271
18,234,378,308,379
19,113,443,184,441
20,408,385,482,385
21,282,338,477,342
22,310,193,510,192
23,387,223,535,226
24,354,265,551,266
25,395,299,542,297
26,521,450,592,451
27,522,472,592,475
28,548,207,568,217
29,577,217,598,238
30,604,248,633,255
31,638,255,667,246
32,672,238,696,228
