id,start.x,start.y,end.x,end.y
0,115,73,396,75
1,385,79,426,79
2,219,94,258,92
3,201,109,238,106
4,227,117,265,115
5,198,128,236,127
6,234,134,272,130
7,222,151,260,149
8,263,144,298,142
9,308,140,347,137
10,385,142,535,142
11,292,152,331,150
12,342,148,378,148
13,355,155,474,154
14,361,169,533,173
15,297,167,334,165
16,268,173,307,172
17,320,176,359,176
18,311,187,482,185
19,396,197,433,197
20,107,180,192,180
21,189,185,285,184
22,217,194,320,196
23,79,234,240,236
24,148,248,253,249
25,101,262,254,264
26,76,276,255,278
27,399,276,511,354
28,399,292,529,380
29,248,205,250,238
30,262,206,263,355
31,277,206,279,323
32,289,206,293,351
33,319,202,359,202
34,334,213,372,212
35,309,224,346,225
36,371,223,412,226
37,346,232,387,233
38,299,236,336,234
39,378,244,418,247
40,339,256,378,254
41,362,264,400,259
42,384,271,422,270
43,402,277,447,276
44,310,285,379,285
45,303,300,388,299
46,298,313,418,315
47,309,328,442,328
48,299,342,449,341
49,306,355,474,354
50,254,366,290,366
51,299,368,485,368
52,471,380,509,377
53,302,384,460,385
54,457,390,490,388
55,318,400,470,397
56,480,402,519,402
57,274,415,311,413
58,461,550,502,548
59,482,565,522,570
60,529,698,572,729
