id,start.x,start.y,end.x,end.y
0,124,132,233,135
1,156,157,258,157
2,225,173,276,173
3,246,194,287,194
4,251,205,295,205
5,239,225,290,225
6,223,240,277,240
7,216,258,255,258
8,199,277,249,277
9,163,289,225,289
10,158,306,200,306
11,165,318,224,318
12,185,334,231,334
13,198,349,239,349
14,223,359,272,359
15,265,374,296,374
16,294,391,331,391
17,310,398,324,398
18,289,417,319,417
19,277,430,291,430
20,286,440,333,440
21,315,455,343,455
22,288,468,328,468
23,269,481,300,481
24,252,491,291,491
25,231,501,275,501
26,230,508,262,508
27,239,521,275,521
28,266,534,289,534
29,244,539,280,539
30,221,549,256,549
31,205,561,237,561
32,198,569,225,569
33,210,577,237,577
34,223,583,248,583
35,232,593,277,593
36,250,599,277,599
37,243,604,265,604
38,233,614,258,614
39,217,626,235,626
40,206,633,230,633
41,221,640,250,640
42,229,649,266,649
43,252,657,272,657
44,260,662,286,662
45,273,669,287,669
46,280,677,297,677
47,265,682,294,682
48,260,691,270,691
49,257,696,263,696
50,262,702,278,702
